mid,following,follower,name,sex,sign,level,is_up
13647872,20,728,卿本无耻,保密,卿本佳人，奈何无耻,6.0,1
3092483,649,10771,锐纸JOE,男,"编曲\HEAT LYRA主唱，网易云：锐纸JOE
群：824722252
商业合作请私信",6.0,1
6092812,363,484124,伤影灬,保密,一个只会蹭热度一线吃瓜吐槽搞笑区的up   视频都是主观  从不客观！,6.0,1
11646988,549,729,颦颦远黛,保密,vvvvv,6.0,1
310255633,28,62,寻今我何在,保密,,3.0,1
189200402,0,256,RICujQ0t51,保密,,3.0,1
7825426,25,1844,你是我的梦罢了,女,不混任何圈，勿关勿扰谢谢！,4.0,1
241809427,7,7890,FDU华晨宇复旦火星村,保密,随意点,5.0,1
1412053015,33,1147,垂耳兔不会吹口哨,女,高三up主，佛系更新，慎关（内容多为学校日常/翻唱/沙雕生活）,5.0,1
1632149530,3,2015,呆妹闲聊馆x,保密,,5.0,1
13600796,114,1568,倔强的王老汉,保密,,5.0,1
204341291,35,357063,朴鸣Piaoming,保密,DFSDFSD,6.0,1
661039154,0,8168,悄悄唱歌给华晨宇听,保密,一个为歌手华晨宇应援的团体｜所属产出仅作饭制｜任何人与团体不得商用,6.0,1
43911224,47,131,晨花蜜语,保密,,4.0,1
523915325,13,11739,盖饭娱乐官方号,保密,娱乐百料，盖饭早知道，精彩尽在盖饭娱乐！,5.0,1
31623238,24,628,温暖声息,保密,爱丽/唯九/油管搬运工/偶尔原创,4.0,1
384403528,0,42064,新浪娱乐日爆社,保密,新浪娱乐原创视频 官方微博ID@娱乐日爆社,6.0,1
4974665,1,2269,汳川和栒,保密,私信不常看 | 授权相关请与同名微博联系,4.0,1
140312650,230,555697,瞻云云,女,大脑最性感！前4A总监、MBA  合作请联系：Ninomiya_T，暗号“瞻云云”,6.0,1
1904723,24,1499,莫凉葵,女,随意上传自己喜欢的。,5.0,1
8607832,1465,16276,丫头琦,女,脚再小，总能找到适合的鞋子....,6.0,1
343638111,27,3303,男团最爱148,保密,"华晨宇，你是微光，也是我们ET大魔王。你一直红，我们一直红
",6.0,1
40726626,159,747,-魏成年-,保密,喜欢听歌の精神分裂 / 什锦区up / 分类见收藏哦 ?,5.0,1
474787942,1,134554,你会怎么做,保密,"一档暖心的社会实验
商务联系：254111846@qq.com",6.0,1
249753709,48,341,心情美腻吃颗糖,保密,抱着不加糖躺在TNT的怀里看杰哥的演唱会??'?'?,5.0,1
334114926,36,4979,米蔚同学,保密,"不会给任何转载及二改授权，多谢抬爱，如有发现，请大家直接举报
不常上B站 有事微博找我：@米蔚同学   ",6.0,1
1792135284,20,43356,默的手作,保密,"不是章er，刻章技术差请见谅我会努力
但我不配接也不接单
刻999个粉丝想刻的图/文字
若侵权立马道歉删除
合作 laimo-（注明来意）
",5.0,1
2420868,60,20904,咕噜噜风小间,男,忙，都忙，忙点好啊,6.0,1
124706952,129,3315,嗜血棉花条,保密,,6.0,1
443252873,5,1438,雨季_缠绵,保密,,3.0,1
12023948,144,1403,M·ACE,保密,随缘发视频不用关注我，喜欢拉黑，不一定是你错，只是不想看见，但我自己的视频下面保证不拉黑不删评,6.0,1
171280532,57,238975,西恩Lagseeing,保密,真爱粉 v：673881525 教学/后期：xien2021 微博：丘纬相,6.0,1
17899671,50,1979,丝雨细如愁yu,女,无,6.0,1
193558681,103,274753,激辣味噌,女,非音乐专业 整活区up 准备出道中 商务邮箱：3404608374@qq.com,6.0,1
65413277,26,558,南瓜里不能放橡皮,女,,5.0,1
2026248364,3,1042,小易侃娱,保密,不八卦，不吐槽，带你了解明星背后的辛酸苦辣！,3.0,1
10766509,134,82,茵冬嗷,女,,5.0,1
554004653,85,50,可叹落叶飘龗,男,,4.0,1
1481044146,2,1117,X音乐档案,保密,,0.0,1
1497270,22,8668,HappyLee,男,超级马里奥一代TAS世界纪录保持者；绝技“掌风琴”创始人,6.0,1
22354103,120,7491,MIYO格子酱,女,爱fafa～,6.0,1
11380918,4,3267,时尚先生fine,保密,,6.0,1
333381822,9,121069,音乐老鸭煲,保密,"听最酿的曲，炖最老的煲！
",6.0,1
1242302654,4,11294,娱圈叫兽,保密,娱圈叫兽，科普一切娱圈故事,0.0,1
15954113,155,37343,漫阿野,男,微博＆公众号：漫阿野 不会拍照的编导不是好自媒体，持续更新生活故事的短视频导演，合作私信,6.0,1
1416165576,8,6139,南翰,保密,,4.0,1
95494347,146,786382,狠毒女孩Money,女,"商业合作:hdnh88888
反正找不到狠毒女孩Money
你就找狠毒女孩",6.0,1
141000908,272,495,Maggielablois,保密,我生活的世界 多么虚幻 多么无聊 多么荒唐,6.0,1
77338831,26,347,南途丶丶,保密,一个热爱唱歌的普通大学生,5.0,1
432449745,193,8103,Tina惟婷,保密,"火星的孩子
治愈系双语学习音乐生活VLOG(o^^o)
音乐/英语/文学/思考/学习/分享
随意点～轻松开心过每一天",6.0,1
165841110,39,336,清酒里藏风,保密,ET的使命就是让华晨宇感受到被爱,4.0,1
449878233,2,688,UIC-CREW,保密,都给我来街舞社！,4.0,1
98549983,155,28700,立风哥哥的阿辞,女,关注请先看动态置顶，视频禁止二改二传,6.0,1
492017889,29,1613,沈破先生,保密,原来你也在这里,4.0,1
27218150,658,3181850,刘哔电影,男,关注我让你更沙雕快乐！合作邮箱liubi@vip.126.com,6.0,1
240744678,44,632,哦哦呵呵呵哈哈哈哈,保密,无情的搬运机器,5.0,1
1857768,225,3183,疯激凌拌虾滑,保密,华晨宇世界中心,6.0,1
440068330,53,31706,艺起流行声乐课堂,保密,新人音乐教学up  会分享一些唱歌小技巧和唱歌小知识，想学习唱歌提升自己可以加微信：574604091,5.0,1
455098605,68,1136,红豆说我是个冷笑话,保密,"喜欢就好    看不一样的视角
自制视频禁二传",5.0,1
87855346,256,1488,鲸九yuuuu,保密,这个人很懒，也非常菜T^T ,6.0,1
4483314,48,451,这不是鳝丝面,保密,吸宇,6.0,1
2093758708,8,409,娱圈小太阳,女,?人物解读?娱圈故事,3.0,1
31326453,54,21012,顾凉城a,女,资深油管 文化游戏娱乐相关 优酷qks：顾凉城s   西瓜抖音 鹤落 合作：微信 Weizzg,6.0,1
382308597,131,17,凄凉丶宫忧,保密,,5.0,1
6437107,525,2232,闰土亲妈,女,佛系（mer鬼）剪辑小up,6.0,1
343042298,16,123250,Music郑在看,保密,环球音乐听，现场郑在看,6.0,1
13074689,150,245387,绅女不迷惑,女,前国际财经记者，和大家一起理性思考，看懂人心,6.0,1
434919682,10,2139,小龙摄影师,保密,"转行当摄影了。宫中号：怡心美美文    （有问题去找我）

纯原创拍摄，喜欢就三连，爱你么么哒。",4.0,1
76312837,85,1803,一只飞饼er,女,"喜欢自娱自乐 / 唯有热爱可抵岁月漫长 /
虾滑贩售处 / 偶尔也发点别的",6.0,1
2986245,513,9109,A木枝,保密,宅腐ET天团成员,6.0,1
183060742,736,47727,酱爆娱,保密,好听的音乐，好玩的视频，好了。,6.0,1
62023949,5,428,新世纪音乐show,保密,"好的声音不论大小，都该被世界听到
",2.0,1
7295246,8,1133981,JKAI杰凯,保密,CZ杰诺文化传媒的逗比BOSS。人才群: 665199205 微博@杰凯JKAI 艺人经纪 音乐交流 版权合作,6.0,1
274579727,25,4208,爆烂爷,保密,微博：菰蒲风动 唱吧：菰蒲_ 全民k歌：菰蒲,5.0,1
250689809,47,26650,清闲几若银枫似,保密,有事请私信，交流群一群733797118 二群948819848，谱子都发在群里。,6.0,1
411549974,130,5535,彭森老师,男,找到你一直追寻的美学和心情！,5.0,1
19808546,18,1678,守伴国王,保密,潮玩品牌“守伴王国”创始人，专注于IP潮玩领域。,3.0,1
12400935,449,679,Kra桑榆,女,To record,6.0,1
23269680,112,146869,超白大叔,男,已出版《只为斑斓》谢谢支持！  大家想做头像都可以拿去哦，不用问我啦。微博：超白大叔  报课&合作v：chaobai555,6.0,1
168812848,85,1162,小船在努力yu,女,当我张开喉咙一万年后声音依然万致/作品禁二改二传,5.0,1
1051494709,4,1616,娱圈名利场,保密,声明：视频里的东西有可能会出现不实，误传或者谣言！给您带来困扰，私信会及时删除，敬请原谅！真真假假，假假真真娱乐圈 关注娱圈名利场！,2.0,1
1498059071,0,4966,壹姐娱乐,保密,新鲜娱乐资讯在这里~,4.0,1
21414208,3,1872,舍贝贝,女,【禁止二传，私信不看。】,6.0,1
1964355,415,15221,YONAKI_曲調,保密,日文翻唱 / VLOG。〈 网易云@YONAKI_曲調 〉,6.0,1
249456966,57,92,静悄悄和小鸽子,保密,天曾缺掉的角，无非此等神采,5.0,1
34548039,1,13785,CYHuaMusicStation,保密,【微博@CYHuaMusicStation】 http://weibo.com/CYHuaMusicStation,6.0,1
475562313,73,80,清儿Mars,女,守护最好的小花????,4.0,1
327645514,51,57285,華晨宇的瘋人院MadHouse,保密,別人眼中的瘋人院，是Mars宇宙裏屬於我們的小世界。,6.0,1
433725771,302,36010,银桑欧巴呀,保密,磕颜一百年！！（发发爱我～）,6.0,1
67199308,182,100840,华晨宇的小海翻宇航员,保密,"(华晨宇海外翻译频道)是由海外火星人自发组成非官方的翻译频道。将华晨宇的视频翻译至中、英、日、韩、西、法、希、印尼等语言分享
",6.0,1
34502989,19,1649,HCY婧婧yu,女,,4.0,1
180537674,187,414337,预言家Alice,保密,"一个机智的中传小师姐，一起吃瓜长见识，思考变机智！
商务wx：Alice_hongyu
个人up主
入股不亏哦(?° ?? ?°）
",6.0,1
28436812,0,741,最音乐日常流水账,保密,来呀~造作呀~反正是~最音乐官方账号哟~~,2.0,1
676950352,0,9514,小婉littlebowl,保密,小婉的追星合集～重新出发，快乐追星！是本人嘻嘻（wb同名）,5.0,1
21543241,207,1943,机智如我hcy,女,退堂鼓一级演奏家,6.0,1
44380498,195,319,墨白喵喵喵,保密,我还在摸索我的视频方向，很开心有大佬出来指导和批评，拒绝没理由的谩骂,5.0,1
1954675029,3,915,莫贝娱乐,保密,,3.0,1
331479384,172,1399,III-VI-IX-XI,保密,-,5.0,1
38719832,10,5788,时差视频,保密,梨视频国际资讯频道,5.0,1
37884259,713,2236,黑卡baby,保密,,6.0,1
399247719,4,408,业火yu,男,回首满是风尘,4.0,1
1895043442,3,1504,娱乐哇妹妹,女,"吃瓜哇妹妹，娱乐有态度
",0.0,1
12104051,612,2613,努噜努噜噜Reaction,保密,在广袤的空间和无限的时间中，能与你共享同一颗行星和同一段时光是我的荣幸。,6.0,1
1355393401,5,802,华晨宇国际丈母娘团,保密,,3.0,1
5110137,221,1641,肉君M,保密,love&peace,6.0,1
24836478,134,6838,音乐禽兽亮,保密,爱音乐的孩子不会变坏！,6.0,1
371124614,178,167,我想象中的你啊,女,一定要，爱着点什么！,5.0,1
6726033,40,38286,立风工作室,保密,"立風(株) 我们只发原创不搬运 *视频图片 禁无授权二传二改他用
",6.0,1
1718674,197,550325,蚊叽叽,保密,商务合作联系vx:13311286278 / 经纪公司内容合作联系邮箱：introtv@vip.qq.com ,6.0,1
33726867,9,236373,胖段段fre,保密,见字如面 谢谢喜欢 合作请私信 视频不给任何授权 盗频请自重,6.0,1
402239893,101,67,西米肠枯常哭,保密,画=花,4.0,1
43022748,488,27537,Dear---迪丽热巴,女,国家一级退堂鼓表演艺术家?,6.0,1
34791837,4,1935,十十二二十二,保密,笑看万物是假象,5.0,1
10119581,162,41727,繁_之间,保密,华晨宇，愿你百岁无忧，健康长久！（视频不及现场万分之一）,6.0,1
490346911,1,92506,火星演唱会Mars,保密,火星演唱会官方,6.0,1
323357091,18,347,小脸yu,保密,说出的话要建立在善良的基础上,5.0,1
18901411,254,547,阿喵Amiaola,女,"临床医学&华晨宇&20考研er
考研后佛系更新",6.0,1
49017255,171,14169,首席花吹,女,"我是吹吹 一只小et罢了
请勿评论引战 善用举报 网络不是非法之地 
没发动态就是在努力攒钱 咱们春暖花开见！",6.0,1
